The board will reconvene at 10 a.m. tomorrow.	to reconvene<br>to meet again after a break<br>újra találkozik<br><br>
To truly understand your risk appetite, you need to first understand your risk-bearing capacity and risk-bearing tolerance.	risk bearing = risk-bearing<br>Having or sharing responsibility for accepting the losses if projects go wrong.<br>kockázatvállaló, kockázatvállalási<br><br>
With traditional pensions the employer bears the risks and pays the benefits.	to bear a risk<br>to be responsible for or accept the risk involved in something<br>kockázatot vállal<br><br>
She carved out a reputation for herself as a high-powered lawyer.	to carve out sg<br>to create or obtain something that helps you by skillful activities<br>szerez valamit<br><br>
Japan has pledged $100 million in humanitarian aid.	to pledge sg<br>to formally promise to give or do something<br>ígéretet tesz<br><br>
During his campaign, he pledged that he would not raise taxes.	to pledge that<br>to formally promise to give or do something<br>ígéretet tesz<br><br>
The group has pledged to continue campaigning.	to pledge to do sg<br>to formally promise to give or do something<br>ígéretet tesz<br><br>
They originally asked for $5 million, but finally settled for a lesser sum.	lesser<br>OPP greater, formal - not as large, as important, or as much as something else<br>kisebb<br><br>
This was true in Madrid and, to a lesser extent, Valencia and Seville.	to a lesser degree / extent<br>OPP greater, formal - not as large, as important, or as much as something else<br>kisebb mértékben<br><br>
Forty lashes is less punishment than 100 lashes.<br>Being pelted with rotten tomatoes is a lesser punishment than being pelted with rocks.	"less vs lesser<br>Less refers to quantity, lesser refers to quality.
Your sentence could be rephrased as ""substitute less punishment for more punishment."" Here we are saying that the amount of punishment is smaller. But if you say ""substitute the lesser punishment"" you are saying the type of punishment is not as severe.<br>kevesebb vs kisebb<br><br>"
A PowerPoint slide deck can vary in size and style depending on the purpose of the presentation and the information it carries, but that’s the beauty of it.	powerpoint deck<br>A PowerPoint deck is the collection of slides that compose a presentation. Think of a deck of cards. Each slide is a single card that makes up the deck.<br>powerpoint prezentáció<br><br>
I can’t speak for the others, but I’d love to come myself.	to speak for sy<br>to express the thoughts or opinions of someone<br>valakinek a nevében beszél<br><br>
I have nothing more to say. The facts speak for themselves. [=the facts clearly show what is true]	to speak for themselves<br>to express the thoughts or opinions of someone<br>magukért beszélnek<br><br>
The watch mechanism is extremely intricate and very difficult to repair.	intricate<br>having a lot of different parts and small details that fit together<br>bonyolult<br><br>
I don't have time to take on any new responsibilities right now.	to take on sg<br>to begin to deal with something, such as a job or responsibility<br>vállal valamit<br><br>
We didn’t have the systems in place to deal with so many orders.	in place<br>to exist and be capable of being used<br>megvan, rendelkezésére áll<br><br>
We'll be there in mid-August.	mid<br>in or near the middle of something<br>közepén<br><br>
The results are shown in diagram 2.	diagram<br>a simple drawing using lines to explain where something is, how something works, etc.<br>diagramm<br><br>
They hinted that there might be more job losses.	to hint that<br>to say something or give information about something in an indirect way<br>utal, céloz<br><br>
He's been hinting at the possibility of running for mayor.	to hint at sg<br>to talk about something in an indirect way<br>utal, céloz<br><br>
The boss hinted about possible layoffs.	to hint about sg<br>to say something or give information about something in an indirect way<br>utal, céloz<br><br>
On paper, the procedure is relatively simple.	on paper<br>SYN in theory - used to say that something seems to be true or likely when you read or hear what is known about it but that the real situation may be different<br>elméletben<br><br>
She argues that watching too much TV is detrimental to a child's intellectual and social development.	to be detrimental to sg<br>formal - causing damage or injury<br>károsan hat valakire<br><br>
The detrimental effects of overeating are well known.	detrimental<br>formal - causing damage or injury<br>káros<br><br>
The tax office liaises closely with our department on such matters.	to liaise with sy<br>especially British English - to work closely with somebody and exchange information with them<br>együttműködik valakivel<br><br>
She acts as a liaison between the police department and city schools.	liaison<br>a person who helps organizations or groups to work together and provide information to each other<br>kapcsolattartó<br><br>
Administrators need to maintain closer liaison with employees.	liaison (noncount)<br>a relationship that allows different organizations or groups to work together and provide information to each other<br>kapcsolat<br><br>
